stock symbol,closing price,amount,120d avg,180d avg,diff7+,52w low,52w high,sector,range,range7+,range30+,diff7+,vwapd7+,120d7+,180d7+,52ld7+,52hd7+,values,headings
RMF1,9.04,393245.5,9.351357,9.4389105,-2.3230011,8.91,10.1,Mutual Fund,5.0884957,11.061947,68.36279,-2.3230011,-2.2453198,-13.570648,-18.413183,10.840724,-54.97789,-2.2453198,vwapd7+
NMBHF1,11.9,47848.1,11.4845,11.957034,-4.201682,10.29,15.95,Mutual Fund,1.6806707,9.915969,52.268894,-4.201682,-2.0454915,16.701683,-3.1526952,66.89076,-170.92436,-2.0454915,vwapd7+
LEMF,10.6,1163651.4,10.006419,10.26294,0.9433897,9.26,17.58,Mutual Fund,0.56603265,8.3018875,51.037743,0.9433897,-0.5714901,18.282106,6.1820498,53.490547,-338.96225,-0.5714901,vwapd7+
NEF,11.0,769675.1,10.77531,12.219999,-1.8181714,10.0,17.0,Mutual Fund,2.909097,12.18182,71.636375,-1.8181714,-0.5291965,10.667758,-54.999958,45.9091,-272.2727,-0.5291965,vwapd7+
SEF,11.47,2775725.0,10.62358,11.097733,-0.61029035,10.17,16.57,Mutual Fund,4.097648,14.298172,57.367058,-0.61029035,-0.4912648,27.917173,7.247925,47.689617,-231.29903,-0.4912648,vwapd7+
GIMES1,12.14,790230.12,16.04531,17.925627,-2.1416793,10.0,24.2,Mutual Fund,3.4596379,22.734762,76.523895,-2.1416793,-0.40226126,-171.71783,-249.16089,77.265236,-507.57828,-0.40226126,vwapd7+
NIBLPF,10.65,439365.5,10.445926,11.280925,-4.22536,9.56,19.05,Mutual Fund,2.3474178,8.262895,57.93424,-4.22536,-0.33008912,17.843857,-21.35798,59.436596,-386.10327,-0.33008912,vwapd7+
GIMES1,12.14,790230.12,16.04531,17.925627,-2.1416793,10.0,24.2,Mutual Fund,3.4596379,22.734762,76.523895,-2.1416793,-0.40226126,-171.71783,-249.16089,77.265236,-507.57828,-171.71783,120d7+
RMF1,9.04,393245.5,9.351357,9.4389105,-2.3230011,8.91,10.1,Mutual Fund,5.0884957,11.061947,68.36279,-2.3230011,-2.2453198,-13.570648,-18.413183,10.840724,-54.97789,-13.570648,120d7+
NICSF,9.19,132070.5,9.31321,9.370612,-0.76171166,8.8,9.99,Mutual Fund,5.4406967,15.7780075,74.86395,-0.76171166,-0.19716147,-4.962448,-8.08555,22.959715,-41.784554,-4.962448,120d7+
KEF,9.3,293586.89,9.320494,9.555126,0.32259336,8.89,11.34,Mutual Fund,1.3978506,10.645148,60.537613,0.32259336,-0.016156705,-3.682444,-16.297094,19.46236,-112.25806,-3.682444,120d7+
SLCF,9.3,294699.0,9.503703,9.714033,-0.6451736,8.91,10.8,Mutual Fund,3.6559157,19.892456,80.75267,-0.6451736,8.751438,-0.73673904,-12.044804,31.18279,-70.43013,-0.73673904,120d7+
SBCF,9.16,265537.1,9.219505,9.463446,-2.5109203,8.32,10.62,Mutual Fund,2.7292578,13.973806,75.21835,-2.5109203,2.39478,-0.30051154,-13.616034,48.79914,-76.74673,-0.30051154,120d7+
NBF3,9.82,836483.0,9.644039,9.644039,2.2403264,9.31,10.05,Mutual Fund,2.342164,17.006111,93.38085,2.2403264,2.275124,-0.103826195,-0.103826195,16.904257,-20.773941,-0.103826195,120d7+
GIMES1,12.14,790230.12,16.04531,17.925627,-2.1416793,10.0,24.2,Mutual Fund,3.4596379,22.734762,76.523895,-2.1416793,-0.40226126,-171.71783,-249.16089,77.265236,-507.57828,-249.16089,180d7+
NEF,11.0,769675.1,10.77531,12.219999,-1.8181714,10.0,17.0,Mutual Fund,2.909097,12.18182,71.636375,-1.8181714,-0.5291965,10.667758,-54.999958,45.9091,-272.2727,-54.999958,180d7+
CMF1,10.1,760935.22,9.791357,10.865461,-1.8811812,9.1,15.59,Mutual Fund,1.9802054,11.287131,54.554466,-1.8811812,0.15746059,13.101143,-40.072334,47.326717,-273.9604,-40.072334,180d7+
CMF2,10.68,558983.75,10.007777,11.101512,3.5580528,9.24,16.7,Mutual Fund,4.2134814,11.048683,58.333336,3.5580528,5.5018387,15.647134,-35.557674,51.59177,-297.6592,-35.557674,180d7+
NBF2,11.4,1282535.0,10.716791,11.954622,-1.2280642,10.08,16.7,Mutual Fund,4.035088,15.9649105,67.63158,-1.2280642,0.7774143,23.649517,-30.641323,51.578957,-238.77197,-30.641323,180d7+
NIBLPF,10.65,439365.5,10.445926,11.280925,-4.22536,9.56,19.05,Mutual Fund,2.3474178,8.262895,57.93424,-4.22536,-0.33008912,17.843857,-21.35798,59.436596,-386.10327,-21.35798,180d7+
RMF1,9.04,393245.5,9.351357,9.4389105,-2.3230011,8.91,10.1,Mutual Fund,5.0884957,11.061947,68.36279,-2.3230011,-2.2453198,-13.570648,-18.413183,10.840724,-54.97789,-18.413183,180d7+
RMF1,9.04,393245.5,9.351357,9.4389105,-2.3230011,8.91,10.1,Mutual Fund,5.0884957,11.061947,68.36279,-2.3230011,-2.2453198,-13.570648,-18.413183,10.840724,-54.97789,10.840724,52ld7+
NBF3,9.82,836483.0,9.644039,9.644039,2.2403264,9.31,10.05,Mutual Fund,2.342164,17.006111,93.38085,2.2403264,2.275124,-0.103826195,-0.103826195,16.904257,-20.773941,16.904257,52ld7+
KEF,9.3,293586.89,9.320494,9.555126,0.32259336,8.89,11.34,Mutual Fund,1.3978506,10.645148,60.537613,0.32259336,-0.016156705,-3.682444,-16.297094,19.46236,-112.25806,19.46236,52ld7+
NICSF,9.19,132070.5,9.31321,9.370612,-0.76171166,8.8,9.99,Mutual Fund,5.4406967,15.7780075,74.86395,-0.76171166,-0.19716147,-4.962448,-8.08555,22.959715,-41.784554,22.959715,52ld7+
MMF1,9.17,407126.9,9.191482,9.191482,-1.4176588,8.72,9.7,Mutual Fund,3.9258413,16.13957,104.25298,-1.4176588,2.7693398,0.7916329,0.7916329,26.499447,-26.935642,26.499447,52ld7+
PSF,9.44,376071.35,9.326914,9.531765,0.1059217,8.78,10.97,Mutual Fund,1.9067729,9.957613,74.788124,0.1059217,3.8388016,1.6465026,-9.203665,30.614412,-85.381386,30.614412,52ld7+
SLCF,9.3,294699.0,9.503703,9.714033,-0.6451736,8.91,10.8,Mutual Fund,3.6559157,19.892456,80.75267,-0.6451736,8.751438,-0.73673904,-12.044804,31.18279,-70.43013,31.18279,52ld7+
GIMES1,12.14,790230.12,16.04531,17.925627,-2.1416793,10.0,24.2,Mutual Fund,3.4596379,22.734762,76.523895,-2.1416793,-0.40226126,-171.71783,-249.16089,77.265236,-507.57828,-507.57828,52hd7+
NIBLPF,10.65,439365.5,10.445926,11.280925,-4.22536,9.56,19.05,Mutual Fund,2.3474178,8.262895,57.93424,-4.22536,-0.33008912,17.843857,-21.35798,59.436596,-386.10327,-386.10327,52hd7+
LEMF,10.6,1163651.4,10.006419,10.26294,0.9433897,9.26,17.58,Mutual Fund,0.56603265,8.3018875,51.037743,0.9433897,-0.5714901,18.282106,6.1820498,53.490547,-338.96225,-338.96225,52hd7+
SFMF,12.32,363700.4,11.207778,12.216303,0.6493488,10.21,19.72,Mutual Fund,3.8149297,13.961026,68.58766,0.6493488,0.6832083,30.041477,-10.888917,70.53571,-315.42206,-315.42206,52hd7+
CMF2,10.68,558983.75,10.007777,11.101512,3.5580528,9.24,16.7,Mutual Fund,4.2134814,11.048683,58.333336,3.5580528,5.5018387,15.647134,-35.557674,51.59177,-297.6592,-297.6592,52hd7+
CMF1,10.1,760935.22,9.791357,10.865461,-1.8811812,9.1,15.59,Mutual Fund,1.9802054,11.287131,54.554466,-1.8811812,0.15746059,13.101143,-40.072334,47.326717,-273.9604,-273.9604,52hd7+
NEF,11.0,769675.1,10.77531,12.219999,-1.8181714,10.0,17.0,Mutual Fund,2.909097,12.18182,71.636375,-1.8181714,-0.5291965,10.667758,-54.999958,45.9091,-272.2727,-272.2727,52hd7+
